"species","family","genus","garden","pres"
"Abelia mosanensis","Caprifoliaceae","Zabelia","fr",1
"Abeliophyllum distichum","Oleaceae","Abeliophyllum","fr",1
"Abelmoschus esculentus","Malvaceae","Abelmoschus","fr",1
"Abelmoschus manihot","Malvaceae","Abelmoschus","fr",1
"Abelmoschus moschatus","Malvaceae","Abelmoschus","fr",1
"Abies alba","Pinaceae","Abies","fr",1
"Abies koreana","Pinaceae","Abies","fr",1
"Abies nordmanniana","Pinaceae","Abies","fr",1
"Abies numidica","Pinaceae","Abies","fr",1
"Abies pinsapo","Pinaceae","Abies","fr",1
"Abies procera","Pinaceae","Abies","fr",1
"Abroma augustum","Malvaceae","Abroma","fr",1
"Abrus precatorius","Fabaceae","Abrus","fr",1
"Abrus precatorius","Fabaceae","Abrus","fr",1
"Abutilon grandifolium","Malvaceae","Abutilon","fr",1
"Abutilon theophrasti","Malvaceae","Abutilon","fr",1
"Acacia karroo","Fabaceae","Vachellia","fr",1
"Acacia senegal","Fabaceae","Senegalia","fr",1
"Acaena buchananii","Rosaceae","Acaena","fr",1
"Acaena ovina","Rosaceae","Acaena","fr",1
"Acaena microphylla","Rosaceae","Acaena","fr",1
"Acaena ovina","Rosaceae","Acaena","fr",1
"Acaena pinnatifida","Rosaceae","Acaena","fr",1
"Acalypha hispida","Euphorbiaceae","Acalypha","fr",1
"Acantholimon armenum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon armenum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon glumaceum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon glumaceum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon olivieri","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon ulicinum","Plumbaginaceae","Acantholimon","fr",1
"Acantholimon venustum","Plumbaginaceae","Acantholimon","fr",1
"Acanthus hungaricus","Acanthaceae","Acanthus","fr",1
"Acanthus montanus","Acanthaceae","Acanthus","fr",1
"Acanthus spinosus","Acanthaceae","Acanthus","fr",1
"Acer buergerianum","Sapindaceae","Acer","fr",1
"Acer campestre","Sapindaceae","Acer","fr",1
"Acer capillipes","Sapindaceae","Acer","fr",1
"Acer cappadocicum","Sapindaceae","Acer","fr",1
"Acer carpinifolium","Sapindaceae","Acer","fr",1
"Acer cissifolium","Sapindaceae","Acer","fr",1
"Acer davidii","Sapindaceae","Acer","fr",1
"Acer griseum","Sapindaceae","Acer","fr",1
"Acer hyrcanum","Sapindaceae","Acer","fr",1
